수집시간,매물유형,매물ID,거래유형,단지명,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),면적(m2),평,층,방향,URL
2026-06-04 06:46:47,아파트,48939469,전세,센트레빌아스테리움서울,,용산구,서울특별시 용산구 서계동,120000,0,0,131.05,39.64,중,,https://www.zigbang.com/home/apt/items/48939469
2026-06-04 06:46:47,아파트,210625,전세,동자,,용산구,서울특별시 용산구 서계동,23000,0,0,20.96,6.34,-1,,https://www.zigbang.com/home/apt/items/210625
2026-06-04 06:46:47,아파트,47307823,매매,용산파크자이,,용산구,서울특별시 용산구 용산동1가,245000,0,245000,99.85,30.2,10,,https://www.zigbang.com/home/apt/items/47307823
2026-06-04 06:46:47,아파트,49248378,매매,탑맨션,,용산구,서울특별시 용산구 용산동2가,210000,0,210000,112.73,34.1,저,,https://www.zigbang.com/home/apt/items/49248378
2026-06-04 06:46:47,아파트,232420,매매,청화,,용산구,서울특별시 용산구 용산동2가,630000,0,630000,174.38,52.75,3,,https://www.zigbang.com/home/apt/items/232420
2026-06-04 06:46:47,아파트,230345,매매,이태원주공,,용산구,서울특별시 용산구 용산동2가,230000,0,230000,84.57,25.58,5,,https://www.zigbang.com/home/apt/items/230345
2026-06-04 06:46:47,아파트,200187,매매,청화,,용산구,서울특별시 용산구 용산동2가,340000,0,340000,106.12,32.1,2,,https://www.zigbang.com/home/apt/items/200187
2026-06-04 06:46:47,아파트,49244914,매매,효창한신,,용산구,서울특별시 용산구 청파동1가,155000,0,155000,71.77,21.71,1,,https://www.zigbang.com/home/apt/items/49244914
2026-06-04 06:46:47,아파트,49244142,매매,효창한신,,용산구,서울특별시 용산구 청파동1가,250000,0,250000,112.41,34.0,저,,https://www.zigbang.com/home/apt/items/49244142
2026-06-04 06:46:47,아파트,49244114,전세,효창한신,,용산구,서울특별시 용산구 청파동1가,69000,0,0,112.41,34.0,저,,https://www.zigbang.com/home/apt/items/49244114
2026-06-04 06:46:47,아파트,190300,매매,용산데시앙포레,,용산구,서울특별시 용산구 청파동1가,185000,0,185000,59.84,18.1,8,,https://www.zigbang.com/home/apt/items/190300
2026-06-04 06:46:47,아파트,48721097,매매,도원삼성래미안,,용산구,서울특별시 용산구 신창동,185000,0,185000,84.92,25.69,고,,https://www.zigbang.com/home/apt/items/48721097
2026-06-04 06:46:47,아파트,49210498,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,210000,0,210000,84.97,25.7,고,,https://www.zigbang.com/home/apt/items/49210498
2026-06-04 06:46:47,아파트,49210055,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,85000,0,85000,38.61,11.68,저,,https://www.zigbang.com/home/apt/items/49210055
2026-06-04 06:46:47,아파트,49017789,월세,용산더프라임,,용산구,서울특별시 용산구 갈월동,2000,350,0,55.98,16.93,저,,https://www.zigbang.com/home/apt/items/49017789
2026-06-04 06:46:47,아파트,48824429,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,240000,0,240000,142.9,43.23,저,,https://www.zigbang.com/home/apt/items/48824429
2026-06-04 06:46:47,아파트,48640468,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,275000,0,275000,142.9,43.23,고,,https://www.zigbang.com/home/apt/items/48640468
2026-06-04 06:46:47,아파트,48360412,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,90000,0,90000,38.61,11.68,저,,https://www.zigbang.com/home/apt/items/48360412
2026-06-04 06:46:47,아파트,48274160,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,230000,0,230000,123.67,37.41,중,,https://www.zigbang.com/home/apt/items/48274160
2026-06-04 06:46:47,아파트,48212262,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,150000,0,150000,55.98,16.93,저,,https://www.zigbang.com/home/apt/items/48212262
2026-06-04 06:46:47,아파트,48212052,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,245000,0,245000,123.67,37.41,중,,https://www.zigbang.com/home/apt/items/48212052
2026-06-04 06:46:47,아파트,48211812,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,93000,0,93000,38.61,11.68,저,,https://www.zigbang.com/home/apt/items/48211812
2026-06-04 06:46:47,아파트,48211649,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,230000,0,230000,123.67,37.41,저,,https://www.zigbang.com/home/apt/items/48211649
2026-06-04 06:46:47,아파트,48211257,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,215000,0,215000,114.21,34.55,7,,https://www.zigbang.com/home/apt/items/48211257
2026-06-04 06:46:47,아파트,48210648,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,213000,0,213000,84.97,25.7,고,,https://www.zigbang.com/home/apt/items/48210648
2026-06-04 06:46:47,아파트,43841163,매매,용산더프라임,,용산구,서울특별시 용산구 갈월동,122000,0,122000,52.77,15.96,저,,https://www.zigbang.com/home/apt/items/43841163
2026-06-04 06:46:47,아파트,49211314,월세,용산CJ나인파크,,용산구,서울특별시 용산구 갈월동,30000,360,0,97.24,29.41,중,,https://www.zigbang.com/home/apt/items/49211314
2026-06-04 06:46:47,아파트,49210678,매매,용산KCC웰츠타워,,용산구,서울특별시 용산구 갈월동,185000,0,185000,84.03,25.42,고,,https://www.zigbang.com/home/apt/items/49210678
2026-06-04 06:46:47,아파트,49209818,매매,용산KCC웰츠타워,,용산구,서울특별시 용산구 갈월동,188000,0,188000,84.03,25.42,고,,https://www.zigbang.com/home/apt/items/49209818
2026-06-04 06:46:47,아파트,240986,매매,이안용산1차,,용산구,서울특별시 용산구 갈월동,153000,0,153000,84.22,25.48,3,,https://www.zigbang.com/home/apt/items/240986
2026-06-04 06:46:47,아파트,239061,매매,이안용산1차,,용산구,서울특별시 용산구 갈월동,160000,0,160000,84.56,25.58,5,,https://www.zigbang.com/home/apt/items/239061
