[05:57:36] 캐시 로드: 0개 완료 항목
[05:57:36] ==============================================================
[05:57:36]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:57:36]   precision: 5 → 7 | 세분화 임계: 400건
[05:57:36]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260703
[05:57:36] ==============================================================
[05:57:36] 지오해시 타일: 16891개 (precision=5)
[05:57:36] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:57:47]   읍면동 18401개 확인
[05:58:02]   100/18401동 | 867건 | 25s
[05:58:09]   200/18401동 | 1,174건 | 32s
[05:58:45]   300/18401동 | 3,757건 | 68s
[05:59:31]   400/18401동 | 8,188건 | 115s
[06:00:24]   500/18401동 | 12,162건 | 168s
[06:01:38]   600/18401동 | 17,765건 | 242s
[06:02:52]   700/18401동 | 23,606건 | 315s
[06:05:11]   800/18401동 | 26,966건 | 454s
[06:05:24]   900/18401동 | 27,663건 | 468s
[06:05:50]   1000/18401동 | 29,455건 | 494s
[06:06:41]   1100/18401동 | 32,559건 | 544s
[06:07:25]   1200/18401동 | 34,764건 | 588s
[06:07:57]   1300/18401동 | 36,229건 | 620s
[06:09:06]   1400/18401동 | 42,547건 | 689s
[06:10:25]   1500/18401동 | 46,542건 | 768s
[06:10:42]   1600/18401동 | 48,321건 | 786s
[06:11:54]   1700/18401동 | 52,667건 | 858s
[06:12:28]   1800/18401동 | 54,501건 | 891s
[06:13:22]   1900/18401동 | 58,794건 | 945s
[06:14:09]   2000/18401동 | 58,800건 | 992s
[06:14:34]   2100/18401동 | 59,452건 | 1018s
[06:15:16]   2200/18401동 | 61,510건 | 1059s
[06:17:35]   2300/18401동 | 69,012건 | 1199s
[06:19:12]   2400/18401동 | 70,800건 | 1296s
[06:20:32]   2500/18401동 | 76,614건 | 1375s
[06:23:11]   2600/18401동 | 81,941건 | 1534s
[06:24:28]   2700/18401동 | 86,813건 | 1612s
[06:24:53]   2800/18401동 | 87,326건 | 1636s
[06:25:25]   2900/18401동 | 88,667건 | 1668s
[06:26:05]   3000/18401동 | 88,675건 | 1709s
[06:27:04]   3100/18401동 | 89,946건 | 1767s
[06:27:30]   3200/18401동 | 90,789건 | 1793s
[06:27:44]   3300/18401동 | 90,789건 | 1807s
[06:29:24]   3400/18401동 | 95,261건 | 1907s
[06:30:30]   3500/18401동 | 96,299건 | 1973s
[06:31:11]   3600/18401동 | 98,220건 | 2014s
[06:32:14]   3700/18401동 | 98,221건 | 2078s
[06:32:39]   3800/18401동 | 98,264건 | 2102s
[06:32:45]   3900/18401동 | 98,468건 | 2109s
[06:32:50]   4000/18401동 | 98,768건 | 2114s
[06:32:53]   4100/18401동 | 98,768건 | 2117s
[06:32:56]   4200/18401동 | 98,786건 | 2120s
[06:33:06]   4300/18401동 | 99,162건 | 2129s
[06:33:39]   4400/18401동 | 99,825건 | 2163s
[06:33:48]   4500/18401동 | 99,900건 | 2172s
[06:33:53]   4600/18401동 | 99,902건 | 2177s
[06:34:02]   4700/18401동 | 100,301건 | 2185s
[06:34:04]   4800/18401동 | 100,306건 | 2188s
[06:34:10]   4900/18401동 | 100,423건 | 2193s
[06:34:14]   5000/18401동 | 100,455건 | 2197s
[06:34:16]   5100/18401동 | 100,455건 | 2199s
[06:34:18]   5200/18401동 | 100,455건 | 2201s
[06:34:20]   5300/18401동 | 100,460건 | 2203s
[06:34:23]   5400/18401동 | 100,460건 | 2206s
[06:34:26]   5500/18401동 | 100,460건 | 2209s
[06:34:37]   5600/18401동 | 100,606건 | 2221s
[06:34:52]   5700/18401동 | 100,692건 | 2236s
[06:34:55]   5800/18401동 | 100,692건 | 2238s
[06:35:13]   5900/18401동 | 100,854건 | 2257s
[06:35:30]   6000/18401동 | 101,527건 | 2274s
[06:35:58]   6100/18401동 | 103,400건 | 2301s
[06:36:02]   6200/18401동 | 103,412건 | 2305s
[06:36:06]   6300/18401동 | 103,515건 | 2309s
[06:36:17]   6400/18401동 | 103,651건 | 2320s
[06:36:20]   6500/18401동 | 103,687건 | 2323s
[06:36:22]   6600/18401동 | 103,687건 | 2326s
[06:36:26]   6700/18401동 | 103,742건 | 2330s
[06:36:30]   6800/18401동 | 103,752건 | 2333s
[06:36:33]   6900/18401동 | 103,752건 | 2337s
[06:39:55]   7000/18401동 | 106,744건 | 2539s
[06:40:06]   7100/18401동 | 106,746건 | 2549s
[06:40:09]   7200/18401동 | 106,746건 | 2552s
[06:40:12]   7300/18401동 | 106,752건 | 2555s
[06:40:14]   7400/18401동 | 106,752건 | 2557s
[06:40:24]   7500/18401동 | 106,931건 | 2568s
[06:40:31]   7600/18401동 | 106,931건 | 2574s
[06:40:36]   7700/18401동 | 107,087건 | 2580s
[06:40:45]   7800/18401동 | 107,090건 | 2588s
[06:40:48]   7900/18401동 | 107,090건 | 2591s
[06:40:55]   8000/18401동 | 107,411건 | 2599s
[06:41:06]   8100/18401동 | 107,420건 | 2609s
[06:41:10]   8200/18401동 | 107,557건 | 2614s
[06:41:18]   8300/18401동 | 107,628건 | 2621s
[06:41:25]   8400/18401동 | 107,628건 | 2628s
[06:41:35]   8500/18401동 | 107,755건 | 2638s
[06:41:39]   8600/18401동 | 107,755건 | 2642s
[06:41:48]   8700/18401동 | 107,879건 | 2651s
[06:41:56]   8800/18401동 | 108,160건 | 2659s
[06:41:59]   8900/18401동 | 108,160건 | 2663s
[06:42:02]   9000/18401동 | 108,160건 | 2666s
[06:42:05]   9100/18401동 | 108,160건 | 2669s
[06:42:09]   9200/18401동 | 108,164건 | 2673s
[06:42:13]   9300/18401동 | 108,166건 | 2676s
[06:42:16]   9400/18401동 | 108,166건 | 2679s
[06:42:18]   9500/18401동 | 108,174건 | 2682s
[06:42:21]   9600/18401동 | 108,174건 | 2685s
[06:42:25]   9700/18401동 | 108,180건 | 2688s
[06:42:27]   9800/18401동 | 108,180건 | 2691s
[06:42:31]   9900/18401동 | 108,181건 | 2694s
[06:42:41]   10000/18401동 | 108,289건 | 2705s
[06:42:46]   10100/18401동 | 108,294건 | 2710s
[06:42:50]   10200/18401동 | 108,294건 | 2714s
[06:42:53]   10300/18401동 | 108,297건 | 2716s
[06:42:56]   10400/18401동 | 108,298건 | 2719s
[06:42:59]   10500/18401동 | 108,298건 | 2723s
[06:43:02]   10600/18401동 | 108,298건 | 2725s
[06:43:05]   10700/18401동 | 108,299건 | 2729s
[06:43:09]   10800/18401동 | 108,299건 | 2733s
[06:43:12]   10900/18401동 | 108,299건 | 2735s
[06:43:15]   11000/18401동 | 108,299건 | 2739s
[06:45:05]   11100/18401동 | 110,926건 | 2848s
[06:45:12]   11200/18401동 | 110,992건 | 2856s
[06:45:23]   11300/18401동 | 111,422건 | 2867s
[06:46:08]   11400/18401동 | 112,338건 | 2912s
[06:46:12]   11500/18401동 | 112,345건 | 2915s
[06:46:17]   11600/18401동 | 112,502건 | 2921s
[06:46:34]   11700/18401동 | 112,746건 | 2937s
[06:46:41]   11800/18401동 | 112,766건 | 2945s
[06:46:45]   11900/18401동 | 112,778건 | 2948s
[06:46:47]   12000/18401동 | 112,778건 | 2951s
[06:46:52]   12100/18401동 | 112,883건 | 2955s
[06:47:03]   12200/18401동 | 113,007건 | 2967s
[06:47:16]   12300/18401동 | 113,045건 | 2980s
[06:47:19]   12400/18401동 | 113,045건 | 2983s
[06:47:22]   12500/18401동 | 113,045건 | 2985s
[06:47:25]   12600/18401동 | 113,045건 | 2988s
[06:47:34]   12700/18401동 | 113,425건 | 2997s
[06:47:37]   12800/18401동 | 113,425건 | 3001s
[06:47:40]   12900/18401동 | 113,425건 | 3004s
[06:47:44]   13000/18401동 | 113,429건 | 3008s
[06:47:47]   13100/18401동 | 113,436건 | 3010s
[06:47:50]   13200/18401동 | 113,436건 | 3013s
[06:47:53]   13300/18401동 | 113,436건 | 3016s
[06:47:55]   13400/18401동 | 113,436건 | 3019s
[06:47:58]   13500/18401동 | 113,437건 | 3022s
[06:48:01]   13600/18401동 | 113,451건 | 3025s
[06:48:04]   13700/18401동 | 113,451건 | 3028s
[06:48:08]   13800/18401동 | 113,451건 | 3031s
[06:48:11]   13900/18401동 | 113,461건 | 3035s
[06:48:14]   14000/18401동 | 113,461건 | 3037s
[06:48:17]   14100/18401동 | 113,463건 | 3040s
[06:48:22]   14200/18401동 | 113,509건 | 3046s
[06:48:38]   14300/18401동 | 114,225건 | 3062s
[06:48:43]   14400/18401동 | 114,239건 | 3066s
[06:49:09]   14500/18401동 | 114,899건 | 3092s
[06:49:22]   14600/18401동 | 115,456건 | 3105s
[06:49:33]   14700/18401동 | 116,026건 | 3117s
[06:49:45]   14800/18401동 | 116,241건 | 3128s
[06:49:51]   14900/18401동 | 116,241건 | 3135s
[06:49:59]   15000/18401동 | 116,313건 | 3142s
[06:50:54]   15100/18401동 | 118,715건 | 3198s
[06:51:35]   15200/18401동 | 118,718건 | 3239s
[06:51:43]   15300/18401동 | 118,975건 | 3246s
[06:52:08]   15400/18401동 | 119,632건 | 3272s
[06:52:54]   15500/18401동 | 120,255건 | 3317s
[06:52:57]   15600/18401동 | 120,264건 | 3321s
[06:53:01]   15700/18401동 | 120,271건 | 3324s
[06:53:04]   15800/18401동 | 120,271건 | 3328s
[06:53:08]   15900/18401동 | 120,277건 | 3332s
[06:53:13]   16000/18401동 | 120,277건 | 3336s
[06:53:17]   16100/18401동 | 120,277건 | 3340s
[06:53:20]   16200/18401동 | 120,277건 | 3344s
[06:53:23]   16300/18401동 | 120,277건 | 3346s
[06:53:26]   16400/18401동 | 120,277건 | 3350s
[06:53:30]   16500/18401동 | 120,281건 | 3354s
[06:53:34]   16600/18401동 | 120,281건 | 3357s
[06:53:37]   16700/18401동 | 120,281건 | 3361s
[06:53:44]   16800/18401동 | 120,500건 | 3368s
[06:54:06]   16900/18401동 | 121,829건 | 3389s
[06:54:42]   17000/18401동 | 121,861건 | 3426s
[06:54:51]   17100/18401동 | 122,141건 | 3435s
[06:55:18]   17200/18401동 | 122,774건 | 3462s
[06:55:25]   17300/18401동 | 122,785건 | 3468s
[06:55:30]   17400/18401동 | 122,937건 | 3474s
[06:55:35]   17500/18401동 | 122,939건 | 3479s
[06:55:40]   17600/18401동 | 123,115건 | 3484s
[06:55:45]   17700/18401동 | 123,179건 | 3488s
[06:55:51]   17800/18401동 | 123,179건 | 3495s
[06:55:54]   17900/18401동 | 123,179건 | 3498s
[06:55:57]   18000/18401동 | 123,182건 | 3500s
[06:56:03]   18100/18401동 | 123,240건 | 3506s
[06:56:07]   18200/18401동 | 123,242건 | 3510s
[06:56:09]   18300/18401동 | 123,254건 | 3513s
[06:56:11]   18400/18401동 | 123,256건 | 3515s
[06:56:11]   18401/18401동 | 123,256건 | 3515s
[06:56:12] 💾 저장: 직방_아파트_20260703_055736.csv (123,256건)
[06:56:12] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[06:56:12]   작업: 50673개 (타일 × 유형)
[06:56:19]   100/50673 타일 | 0건 | 3522s
[06:56:24]   200/50673 타일 | 0건 | 3528s
[06:56:30]   300/50673 타일 | 0건 | 3533s
[06:56:35]   400/50673 타일 | 0건 | 3538s
[06:56:39]   500/50673 타일 | 0건 | 3543s
[06:56:44]   600/50673 타일 | 0건 | 3548s
[06:56:49]   700/50673 타일 | 0건 | 3553s
[06:56:55]   800/50673 타일 | 17건 | 3558s
[06:57:00]   900/50673 타일 | 45건 | 3563s
[06:57:05]   1000/50673 타일 | 50건 | 3569s
[06:57:10]   1100/50673 타일 | 63건 | 3574s
[06:57:15]   1200/50673 타일 | 63건 | 3579s
[06:57:20]   1300/50673 타일 | 63건 | 3584s
[06:57:25]   1400/50673 타일 | 63건 | 3589s
[06:57:30]   1500/50673 타일 | 63건 | 3594s
[06:57:35]   1600/50673 타일 | 63건 | 3598s
[06:57:40]   1700/50673 타일 | 63건 | 3603s
[06:57:45]   1800/50673 타일 | 63건 | 3608s
[06:57:49]   1900/50673 타일 | 63건 | 3613s
[06:57:54]   2000/50673 타일 | 63건 | 3618s
[06:58:00]   2100/50673 타일 | 63건 | 3623s
[06:58:04]   2200/50673 타일 | 63건 | 3628s
[06:58:09]   2300/50673 타일 | 63건 | 3633s
[06:58:14]   2400/50673 타일 | 63건 | 3638s
[06:58:19]   2500/50673 타일 | 63건 | 3643s
[06:58:24]   2600/50673 타일 | 63건 | 3647s
[06:58:29]   2700/50673 타일 | 63건 | 3653s
[06:58:34]   2800/50673 타일 | 63건 | 3657s
[06:58:39]   2900/50673 타일 | 63건 | 3662s
[06:58:44]   3000/50673 타일 | 63건 | 3667s
[06:58:48]   3100/50673 타일 | 63건 | 3672s
[06:58:54]   3200/50673 타일 | 78건 | 3678s
[06:58:59]   3300/50673 타일 | 78건 | 3682s
[06:59:04]   3400/50673 타일 | 78건 | 3688s
[06:59:09]   3500/50673 타일 | 78건 | 3692s
[06:59:14]   3600/50673 타일 | 78건 | 3697s
[06:59:19]   3700/50673 타일 | 88건 | 3702s
[06:59:24]   3800/50673 타일 | 97건 | 3708s
[06:59:29]   3900/50673 타일 | 97건 | 3713s
[06:59:35]   4000/50673 타일 | 97건 | 3718s
[06:59:40]   4100/50673 타일 | 97건 | 3723s
[06:59:45]   4200/50673 타일 | 97건 | 3728s
[06:59:49]   4300/50673 타일 | 97건 | 3733s
[06:59:54]   4400/50673 타일 | 97건 | 3738s
[07:00:00]   4500/50673 타일 | 97건 | 3743s
[07:00:05]   4600/50673 타일 | 97건 | 3749s
[07:00:11]   4700/50673 타일 | 97건 | 3754s
[07:00:16]   4800/50673 타일 | 97건 | 3759s
[07:00:20]   4900/50673 타일 | 97건 | 3764s
[07:00:26]   5000/50673 타일 | 97건 | 3769s
[07:00:31]   5100/50673 타일 | 97건 | 3774s
[07:00:35]   5200/50673 타일 | 97건 | 3779s
[07:00:40]   5300/50673 타일 | 99건 | 3784s
[07:00:45]   5400/50673 타일 | 99건 | 3789s
[07:00:50]   5500/50673 타일 | 99건 | 3794s
[07:00:55]   5600/50673 타일 | 99건 | 3799s
[07:01:00]   5700/50673 타일 | 99건 | 3803s
[07:01:05]   5800/50673 타일 | 99건 | 3809s
[07:01:10]   5900/50673 타일 | 99건 | 3814s
[07:01:16]   6000/50673 타일 | 131건 | 3820s
[07:01:22]   6100/50673 타일 | 139건 | 3825s
[07:01:27]   6200/50673 타일 | 186건 | 3831s
[07:01:33]   6300/50673 타일 | 240건 | 3837s
[07:01:38]   6400/50673 타일 | 240건 | 3842s
[07:01:43]   6500/50673 타일 | 240건 | 3847s
[07:01:48]   6600/50673 타일 | 240건 | 3852s
[07:01:54]   6700/50673 타일 | 240건 | 3857s
[07:01:59]   6800/50673 타일 | 240건 | 3862s
[07:02:04]   6900/50673 타일 | 240건 | 3868s
[07:02:09]   7000/50673 타일 | 240건 | 3873s
[07:02:15]   7100/50673 타일 | 269건 | 3878s
[07:02:20]   7200/50673 타일 | 269건 | 3883s
[07:02:26]   7300/50673 타일 | 296건 | 3890s
[07:02:33]   7400/50673 타일 | 322건 | 3896s
[07:02:38]   7500/50673 타일 | 329건 | 3902s
[07:02:43]     🔍 세분화: 원룸/wy67u → 403건 (p5→6)
[07:02:44]   7600/50673 타일 | 348건 | 3907s
[07:02:49]   7700/50673 타일 | 351건 | 3913s
[07:02:55]   7800/50673 타일 | 351건 | 3919s
[07:02:59]     🔍 세분화: 원룸/wy6he → 449건 (p5→6)
[07:03:01]   7900/50673 타일 | 379건 | 3925s
[07:03:09]   8000/50673 타일 | 413건 | 3932s
[07:03:14]   8100/50673 타일 | 414건 | 3938s
[07:03:20]   8200/50673 타일 | 428건 | 3943s
[07:03:23]     🔍 세분화: 원룸/wy6we → 410건 (p5→6)
[07:03:23]     🔍 세분화: 원룸/wy6wc → 664건 (p5→6)
[07:03:23]     🔍 세분화: 원룸/wy6wd → 645건 (p5→6)
[07:03:23]     🔍 세분화: 원룸/wy6wf → 1083건 (p5→6)
[07:03:25]     🔍 세분화: 원룸/wy6ws → 456건 (p5→6)
[07:03:32]   8300/50673 타일 | 465건 | 3956s
[07:03:42]   8400/50673 타일 | 507건 | 3965s
[07:03:47]   8500/50673 타일 | 531건 | 3971s
[07:03:53]   8600/50673 타일 | 538건 | 3976s
