[03:06:30] 캐시 로드: 0개 완료 항목
[03:06:30] ==============================================================
[03:06:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[03:06:30]   precision: 5 → 7 | 세분화 임계: 400건
[03:06:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260821
[03:06:30] ==============================================================
[03:06:30] 지오해시 타일: 16891개 (precision=5)
[03:06:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[03:06:39]   읍면동 18401개 확인
[03:07:01]   100/18401동 | 1,338건 | 31s
[03:07:12]   200/18401동 | 2,102건 | 42s
[03:07:48]   300/18401동 | 4,371건 | 78s
[03:08:43]   400/18401동 | 9,008건 | 133s
[03:10:10]   500/18401동 | 15,500건 | 221s
[03:11:26]   600/18401동 | 21,064건 | 297s
[03:14:23]   700/18401동 | 25,332건 | 473s
[03:15:00]   800/18401동 | 27,537건 | 511s
[03:15:33]   900/18401동 | 30,721건 | 543s
[03:16:04]   1000/18401동 | 32,562건 | 575s
[03:16:30]   1100/18401동 | 34,161건 | 600s
[03:18:36]   1200/18401동 | 42,508건 | 726s
[03:18:58]   1300/18401동 | 43,299건 | 748s
[03:20:16]   1400/18401동 | 47,498건 | 827s
[03:21:06]   1500/18401동 | 50,816건 | 876s
[03:21:52]   1600/18401동 | 53,247건 | 923s
[03:22:12]   1700/18401동 | 54,158건 | 942s
[03:23:09]   1800/18401동 | 57,678건 | 999s
[03:23:40]   1900/18401동 | 58,967건 | 1030s
[03:24:33]   2000/18401동 | 61,440건 | 1083s
[03:25:24]   2100/18401동 | 61,943건 | 1135s
[03:26:01]   2200/18401동 | 64,383건 | 1172s
[03:28:03]   2300/18401동 | 73,358건 | 1294s
[03:29:57]   2400/18401동 | 75,085건 | 1407s
[03:31:17]   2500/18401동 | 77,997건 | 1487s
[03:33:21]   2600/18401동 | 87,165건 | 1611s
[03:35:29]   2700/18401동 | 89,628건 | 1739s
[03:36:38]   2800/18401동 | 91,496건 | 1808s
[03:37:12]   2900/18401동 | 92,840건 | 1842s
[03:38:03]   3000/18401동 | 92,840건 | 1893s
[03:39:13]   3100/18401동 | 95,482건 | 1963s
[03:40:12]   3200/18401동 | 96,856건 | 2022s
[03:40:56]   3300/18401동 | 96,857건 | 2066s
[03:42:05]   3400/18401동 | 98,167건 | 2136s
[03:42:27]   3500/18401동 | 98,404건 | 2157s
[03:42:52]   3600/18401동 | 98,824건 | 2182s
[03:43:43]   3700/18401동 | 101,035건 | 2234s
[03:43:52]   3800/18401동 | 101,073건 | 2242s
[03:43:58]   3900/18401동 | 101,100건 | 2248s
[03:44:09]   4000/18401동 | 101,214건 | 2260s
[03:44:14]   4100/18401동 | 101,230건 | 2265s
[03:44:19]   4200/18401동 | 101,284건 | 2269s
[03:44:25]   4300/18401동 | 101,448건 | 2275s
[03:45:01]   4400/18401동 | 102,286건 | 2311s
[03:45:05]   4500/18401동 | 102,313건 | 2315s
[03:45:07]   4600/18401동 | 102,313건 | 2317s
[03:45:14]   4700/18401동 | 102,551건 | 2324s
[03:45:22]   4800/18401동 | 103,165건 | 2332s
[03:45:25]   4900/18401동 | 103,165건 | 2335s
[03:45:28]   5000/18401동 | 103,165건 | 2338s
[03:45:29]   5100/18401동 | 103,169건 | 2340s
[03:45:32]   5200/18401동 | 103,169건 | 2343s
[03:45:37]   5300/18401동 | 103,233건 | 2347s
[03:45:41]   5400/18401동 | 103,233건 | 2351s
[03:46:02]   5500/18401동 | 103,404건 | 2373s
[03:46:05]   5600/18401동 | 103,405건 | 2376s
