수집시간,매물유형,매물ID,거래유형,상가업종,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),권리금(만원),면적(m2),평,층,제목,URL
2026-09-07 08:48:33,상가사무실,954943,매매,기타,제주특별자치도,서귀포시,동홍동,0,0,900000,0,978.51,296.0,3층,서귀포시의 중심은 나다 완전 요물 건물 등장,https://www.zigbang.com/home/store/items/954943
2026-09-07 08:48:38,상가사무실,902197,임대,카페/커피,제주특별자치도,제주시,삼도일동,500,42,0,2500,26.45,8.0,1층,제주시 전농로 왕벚꽃 메인거리,https://www.zigbang.com/home/store/items/902197
2026-09-07 08:53:45,상가사무실,859097,매매,기타,경상남도,거제시,남부면,0,0,53000,0,268.23,81.14,1층,"남부면 다포리, 다대다포항 선착장 입구 앞 상가 건물 통매매",https://www.zigbang.com/home/store/items/859097
2026-09-07 08:53:50,상가사무실,891670,임대,기타,경상남도,거제시,사등면,2000,100,0,0,151.6,45.86,3층,바다를 내려다보는 상가 사무실,https://www.zigbang.com/home/store/items/891670
2026-09-07 08:53:50,상가사무실,831284,임대,기타,경상남도,거제시,사등면,2000,130,0,0,151.6,45.86,3층,거제미래미라지아파트 단지 내 상가에 위치한 3층 성포리 공실,https://www.zigbang.com/home/store/items/831284
2026-09-07 08:53:50,상가사무실,813208,매매,기타,경상남도,거제시,연초면,0,0,225000,0,1084.5,328.06,1층,연초면 한내리 접근성좋은 공장 건물 매매,https://www.zigbang.com/home/store/items/813208
2026-09-07 08:53:50,상가사무실,651483,매매,기타,경상남도,거제시,연초면,0,0,52000,0,198.35,60.0,1층,한내리 임차 맞춰진 상가 매매,https://www.zigbang.com/home/store/items/651483
2026-09-07 08:53:50,상가사무실,893112,임대,사무실,경상남도,거제시,고현동,400,40,0,0,39.67,12.0,1층,고현 중심가 1층 다용도 사무실,https://www.zigbang.com/home/store/items/893112
2026-09-07 08:53:50,상가사무실,893108,임대,사무실,경상남도,거제시,고현동,1200,120,0,0,109.09,33.0,1층,"고현시장, 시청, 세무서 인근 1층 상가 임대",https://www.zigbang.com/home/store/items/893108
2026-09-07 08:53:50,상가사무실,883878,임대,기타,경상남도,거제시,고현동,20000,450,0,0,451.8,136.67,2층,"중심상권, 유동인구 많은 고현동 상가 2층 3층 동시임대",https://www.zigbang.com/home/store/items/883878
2026-09-07 08:53:50,상가사무실,883877,임대,기타,경상남도,거제시,고현동,10000,250,0,0,225.9,68.33,2층,대로변 코너 노출도 좋은 고현동 2층 상가,https://www.zigbang.com/home/store/items/883877
2026-09-07 08:53:50,상가사무실,883876,임대,기타,경상남도,거제시,고현동,10000,200,0,0,225.9,68.33,3층,"중심상권, 유동인구 많은 고현동 3층 공실",https://www.zigbang.com/home/store/items/883876
2026-09-07 08:53:50,상가사무실,865188,임대,기타,경상남도,거제시,고현동,10000,700,0,0,389.12,117.71,1층,"고현동 거제 법원 앞, 즉시 입주 가능한 1층 공실",https://www.zigbang.com/home/store/items/865188
2026-09-07 08:53:50,상가사무실,858441,매매,숙박/펜션,경상남도,거제시,장평동,0,0,140000,0,958.68,290.0,8층,위치 좋은 장평동 모텔 매매,https://www.zigbang.com/home/store/items/858441
